cancer,morbidity,cancer_size,morbid_size,pre_diag,post_diag,total,pre_diag_perc,post_diag_perc,total_perc
Biliary tract,Primary_Malignancy_pancreatic,44,40,2,5,7,0.045454545454545456,0.11363636363636363,0.1590909090909091
Biliary tract,Primary_Malignancy_prostate,44,196,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,Primary_Malignancy_stomach,44,79,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Primary_Malignancy_testicular,44,15,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_thyroid,44,121,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_uterine,44,104,0,0,0,0.0,0.0,0.0
Biliary tract,Psoriasis,44,1804,3,1,4,0.06818181818181818,0.022727272727272728,0.09090909090909091
Biliary tract,Psoriatic_arthropathy,44,160,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Ptosis_of_eyelid,44,199,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Pulmonary_hypertension,44,158,0,0,0,0.0,0.0,0.0
Biliary tract,Respiratory_failure,44,767,1,2,3,0.022727272727272728,0.045454545454545456,0.06818181818181818
Biliary tract,Retinal_detachments_and_breaks,44,311,2,0,2,0.045454545454545456,0.0,0.045454545454545456
Biliary tract,Retinal_vascular_occlusions,44,241,0,0,0,0.0,0.0,0.0
Biliary tract,Rheumatic_valve_dz,44,267,0,0,0,0.0,0.0,0.0
Biliary tract,Rheumatoid_Arthritis,44,1642,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Rosacea,44,736,0,0,0,0.0,0.0,0.0
Biliary tract,Sarcoidosis,44,172,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Schizophrenia_and_non-organic_psychosis,44,964,2,0,2,0.045454545454545456,0.0,0.045454545454545456
Biliary tract,Scoliosis,44,290,0,0,0,0.0,0.0,0.0
Biliary tract,Seborrheic_dermatitis,44,3544,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Secondary_Malignancy_and_metastasis,44,479,16,16,32,0.36363636363636365,0.36363636363636365,0.7272727272727273
Biliary tract,Secondary_Malignancy_and_metastasis_CNS,44,37,0,0,0,0.0,0.0,0.0
Biliary tract,Secondary_polycythaemia,44,64,0,0,0,0.0,0.0,0.0
Biliary tract,Sick_sinus_syndrome,44,42,0,0,0,0.0,0.0,0.0
Biliary tract,Sickle-cell_anaemia,44,43,0,0,0,0.0,0.0,0.0
Biliary tract,Sjogrens_disease,44,145,0,0,0,0.0,0.0,0.0
Biliary tract,Sleep_apnoea,44,1320,3,1,4,0.06818181818181818,0.022727272727272728,0.09090909090909091
Biliary tract,Somatoform_and_dissociative_disorders,44,4026,6,0,6,0.13636363636363635,0.0,0.13636363636363635
Biliary tract,Spina_bifida,44,54,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,Spinal_stenosis,44,879,3,0,3,0.06818181818181818,0.0,0.06818181818181818
Biliary tract,Spondylolisthesis,44,214,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Spondylosis,44,3113,6,4,10,0.13636363636363635,0.09090909090909091,0.22727272727272727
Biliary tract,Subarachnoid_haemorrhage,44,130,0,2,2,0.0,0.045454545454545456,0.045454545454545456
Biliary tract,Subdural_haematoma,44,146,0,0,0,0.0,0.0,0.0
Biliary tract,Supraventricular_tachycardia,44,335,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Systemic_sclerosis,44,32,0,0,0,0.0,0.0,0.0
Biliary tract,Thalassaemia,44,419,0,0,0,0.0,0.0,0.0
Biliary tract,Thrombocytopenia_-_primary_secondary_and_other,44,580,1,1,2,0.022727272727272728,0.022727272727272728,0.045454545454545456
Biliary tract,Thrombophilia,44,169,0,0,0,0.0,0.0,0.0
Biliary tract,Thyroid_disease,44,4894,5,1,6,0.11363636363636363,0.022727272727272728,0.13636363636363635
Biliary tract,Tinnitus,44,2003,6,0,6,0.13636363636363635,0.0,0.13636363636363635
Biliary tract,Trigeminal_neuralgia,44,158,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Tuberculosis,44,1840,0,0,0,0.0,0.0,0.0
Biliary tract,Type_1_Diabetes,44,660,2,0,2,0.045454545454545456,0.0,0.045454545454545456
Biliary tract,Type_2_Diabetes,44,13921,29,1,30,0.6590909090909091,0.022727272727272728,0.6818181818181818
Biliary tract,Ulcerative_colitis,44,486,2,0,2,0.045454545454545456,0.0,0.045454545454545456
